MaterialID,name,rarity,type,source,intro,relatedFurnish,relatedFood,LABEL
m0,北风之尾,5星,天赋培养素材,周常BOSS掉落70级以上北风狼挑战奖励,N/A,N/A,N/A,Material
m1,东风的吐息,5星,天赋培养素材,周常BOSS掉落70级以上风魔龙挑战奖励,"从蒙德的东风之主唤起的狂风中，采来的些许力量。
它的身躯是优美而通透的，信风与龙卷都愿为它效力。只要乘风而行，风就是它的同伴、它的歌声与它的自由。
而它的敌人，就是—千种名字各异的风的敌人。",N/A,N/A,Material
m2,璀璨原钻,5星,角色培养素材,冒险等阶奖励,角色突破素材。「欢迎来到世界。」,N/A,N/A,Material
m3,龙王之冕,5星,天赋培养素材,周常BOSS掉落70级以上若陀龙王挑战奖励,千年刚玉凝成的结晶之角，乃是「龙王」的天生冠冕。注之以精魄，塑之以顽岩。它自山涧而生，在群岩的国土彰示天地的威权，而黄金般的长角则是它在过去与某位君王分庭抗礼的标志。曾一度裂折失色，如今却在你的手中闪烁着冰冷的黄金光泽。,N/A,N/A,Material
m4,智识之冕,5星,天赋培养素材,版本活动奖励供奉忍冬之树至11级获取供奉神樱大树至一定等级获取。,提升天赋所需要的珍贵素材。远古时期，承载与传授智识所用的仪式器具。尽管如此，智慧居于言语及典籍中，但「智识之冕」中残存的力量与智慧仍能给如今的人们带来伟大的突破吧。,N/A,N/A,Material
m5,自在松石,5星,角色培养素材,N/A,"「但风向是会转变的。」
「终有一天，会吹向更有光亮的方向。」
「从今往后，带着我的祝福，活得更加从容一些吧。」",N/A,N/A,Material
m6,哀叙冰玉,5星,角色培养素材,N/A,"「…抱歉让你们一起和我背负了整个世界的哀思。」
「你们既然能忍受我的苦寒，那心中一定都有炽烈的欲望吧？」
「那么，替我燃烧旧世界吧。」",N/A,N/A,Material
m7,雷光棱镜,4星,角色培养素材,N/A,N/A,N/A,N/A,Material
m8,晶凝之华,4星,角色培养素材,N/A,N/A,N/A,N/A,Material
m9,雷霆数珠,4星,角色培养素材,BOSS掉落30级以上雷音权现掉落,N/A,N/A,N/A,Material
