END_ID,type,START_ID
wt0,属于,w0
wt2,属于,w1
wt2,属于,w2
wt2,属于,w3
wt2,属于,w4
wt2,属于,w5
wt2,属于,w6
wt2,属于,w7
wt2,属于,w8
wt2,属于,w9
wt2,属于,w10
wt2,属于,w11
wt2,属于,w12
wt2,属于,w13
wt2,属于,w14
wt2,属于,w15
wt2,属于,w16
wt2,属于,w17
wt2,属于,w18
wt2,属于,w19
wt2,属于,w20
wt2,属于,w21
wt3,属于,w22
wt3,属于,w23
wt3,属于,w24
wt3,属于,w25
wt3,属于,w26
wt3,属于,w27
wt3,属于,w28
wt3,属于,w29
wt3,属于,w30
wt3,属于,w31
wt3,属于,w32
wt3,属于,w33
wt3,属于,w34
wt3,属于,w35
wt3,属于,w36
wt3,属于,w37
wt3,属于,w38
wt3,属于,w39
wt3,属于,w40
wt3,属于,w41
wt3,属于,w42
wt3,属于,w43
wt3,属于,w44
wt3,属于,w45
wt4,属于,w46
wt4,属于,w47
wt4,属于,w48
wt4,属于,w49
wt4,属于,w50
wt4,属于,w51
wt4,属于,w52
wt4,属于,w53
wt4,属于,w54
wt4,属于,w55
wt4,属于,w56
wt4,属于,w57
wt4,属于,w58
wt4,属于,w59
wt4,属于,w60
wt4,属于,w61
wt4,属于,w62
wt4,属于,w63
wt4,属于,w64
wt4,属于,w65
wt4,属于,w66
wt4,属于,w67
wt4,属于,w68
wt4,属于,w69
wt1,属于,w70
wt1,属于,w71
wt1,属于,w72
wt1,属于,w73
wt4,属于,w74
wt4,属于,w75
wt1,属于,w76
wt1,属于,w77
wt1,属于,w78
wt1,属于,w79
wt1,属于,w80
wt1,属于,w81
wt1,属于,w82
wt1,属于,w83
wt1,属于,w84
wt1,属于,w85
wt1,属于,w86
wt1,属于,w87
wt1,属于,w88
wt1,属于,w89
wt1,属于,w90
wt1,属于,w91
wt1,属于,w92
wt1,属于,w93
wt1,属于,w94
wt1,属于,w95
wt1,属于,w96
wt0,属于,w97
wt0,属于,w98
wt0,属于,w99
wt0,属于,w100
wt0,属于,w101
wt0,属于,w102
wt0,属于,w103
wt0,属于,w104
wt0,属于,w105
wt0,属于,w106
wt0,属于,w107
wt0,属于,w108
wt0,属于,w109
wt0,属于,w110
wt0,属于,w111
wt0,属于,w112
wt0,属于,w113
wt0,属于,w114
wt0,属于,w115
wt0,属于,w116
wt0,属于,w117
wt0,属于,w118
wt0,属于,w119
wt0,属于,w120
wt0,属于,w121
wt0,属于,w122
