END_ID,type,START_ID
wt0,属于,w0
wt4,属于,w1
wt2,属于,w2
wt1,属于,w3
wt2,属于,w4
wt4,属于,w5
wt3,属于,w6
wt0,属于,w7
wt0,属于,w8
wt3,属于,w9
wt3,属于,w10
wt1,属于,w11
wt4,属于,w12
wt0,属于,w13
wt3,属于,w14
wt2,属于,w15
wt2,属于,w16
wt2,属于,w17
wt3,属于,w18
wt3,属于,w19
wt3,属于,w20
wt3,属于,w21
wt4,属于,w22
wt3,属于,w23
wt4,属于,w24
wt4,属于,w25
wt4,属于,w26
wt4,属于,w27
wt1,属于,w28
wt1,属于,w29
wt1,属于,w30
wt1,属于,w31
wt1,属于,w32
wt0,属于,w33
wt3,属于,w34
wt0,属于,w35
wt0,属于,w36
wt0,属于,w37
wt0,属于,w38
wt2,属于,w39
wt0,属于,w40
wt2,属于,w41
wt2,属于,w42
wt2,属于,w43
wt2,属于,w44
wt2,属于,w45
wt3,属于,w46
wt3,属于,w47
wt3,属于,w48
wt3,属于,w49
wt3,属于,w50
wt3,属于,w51
wt3,属于,w52
wt3,属于,w53
wt4,属于,w54
wt3,属于,w55
wt4,属于,w56
wt4,属于,w57
wt4,属于,w58
wt4,属于,w59
wt4,属于,w60
wt4,属于,w61
wt1,属于,w62
wt4,属于,w63
wt1,属于,w64
wt1,属于,w65
wt4,属于,w66
wt1,属于,w67
wt2,属于,w68
wt1,属于,w69
wt1,属于,w70
wt1,属于,w71
wt1,属于,w72
wt0,属于,w73
wt1,属于,w74
wt0,属于,w75
wt0,属于,w76
wt0,属于,w77
wt0,属于,w78
wt0,属于,w79
wt0,属于,w80
wt0,属于,w81
wt0,属于,w82
wt0,属于,w83
wt3,属于,w84
wt2,属于,w85
wt1,属于,w86
wt3,属于,w87
wt2,属于,w88
wt0,属于,w89
wt1,属于,w90
wt4,属于,w91
wt4,属于,w92
wt0,属于,w93
wt3,属于,w94
wt4,属于,w95
wt2,属于,w96
wt1,属于,w97
wt3,属于,w98
wt4,属于,w99
wt0,属于,w100
wt2,属于,w101
wt1,属于,w102
wt2,属于,w103
wt0,属于,w104
wt4,属于,w105
wt1,属于,w106
wt4,属于,w107
wt3,属于,w108
wt4,属于,w109
wt0,属于,w110
wt2,属于,w111
wt4,属于,w112
wt4,属于,w113
wt3,属于,w114
wt0,属于,w115
wt2,属于,w116
wt1,属于,w117
wt1,属于,w118
wt3,属于,w119
wt4,属于,w120
wt0,属于,w121
wt0,属于,w122
wt2,属于,w123
wt3,属于,w124
wt2,属于,w125
wt1,属于,w126
wt3,属于,w127
wt4,属于,w128
wt1,属于,w129
wt4,属于,w130
wt0,属于,w131
wt1,属于,w132
wt0,属于,w133
wt2,属于,w134
wt3,属于,w135
wt0,属于,w136
wt1,属于,w137
wt0,属于,w138
wt4,属于,w139
wt1,属于,w140
wt0,属于,w141
wt2,属于,w142
wt4,属于,w143
wt2,属于,w144
wt3,属于,w145
wt3,属于,w146
wt4,属于,w147
wt2,属于,w148
wt0,属于,w149
wt0,属于,w150
wt1,属于,w151
wt2,属于,w152
wt2,属于,w153
wt3,属于,w154
wt3,属于,w155
wt4,属于,w156
wt1,属于,w157
wt4,属于,w158
wt1,属于,w159
wt0,属于,w160
wt2,属于,w161
wt0,属于,w162
wt3,属于,w163
wt1,属于,w164
wt0,属于,w165
wt2,属于,w166
wt4,属于,w167
wt0,属于,w168
wt1,属于,w169
wt4,属于,w170
wt0,属于,w171
wt0,属于,w172
wt2,属于,w173
wt3,属于,w174
wt1,属于,w175
wt2,属于,w176
wt0,属于,w177
wt3,属于,w178
wt0,属于,w179
wt3,属于,w180
wt4,属于,w181
wt1,属于,w182
wt0,属于,w183
wt3,属于,w184
wt2,属于,w185
wt4,属于,w186
