END_ID,type,START_ID
#39,友谊,#16
#24,同事,#16
#23,知更鸟，敌对,#16
#18,敌对,#16
#50,知道,#45
#28,喜欢,#45
#51,中*人，兄弟姐妹,#45
#9,知书达理,#45
#11,师徒,#45
#13,师徒,#45
#47,友谊,#45
#54,认识,#45
#22,敌对,#42
#71,了解,#42
#28,友谊,#42
#27,友谊,#42
#6,喜欢玩火的人，友谊,#42
#48,知,#42
#90,中，敌对,#82
#78,同事,#82
#92,了解,#82
#89,同事,#82
#79,同事,#82
#86,中伤，师徒,#82
#77,知,#82
#33,认识,#3
#0,同事,#3
#25,不简单,#3
#6,知,#3
#22,认识,#3
#36,师徒,#3
#52,不信任,#3
#53,师徒,#3
#16,了解,#23
#39,喜欢,#23
#1,同事,#23
#18,知,#23
#55,感激,#23
#59,敌对,#68
#67,矛盾,#68
#60,敌对,#68
#61,喜欢,#68
#63,认识,#68
#33,知道,#6
#71,敌对,#6
#22,知，师徒,#6
#28,友谊,#6
#25,不祥,#6
#27,知,#6
#5,不信任,#6
#36,知,#6
#48,褒贬不一,#6
#49,知,#6
#24,友谊,#39
#23,好友,#39
#16,了解,#39
#1,同事,#39
#19,喜欢,#39
#67,敌对,#70
#67,同事,#70
#57,知,#70
#60,友谊,#70
#55,同事,#70
#61,喜欢,#70
#64,师徒,#70
#57,感激他,#55
#60,敌对,#55
#70,矛盾,#55
#61,师徒,#55
#23,喜欢,#55
#64,敌对,#55
#33,友谊,#66
#33,中*友谊,#66
#71,师徒,#66
#0,不信任,#66
#36,师徒,#66
#48,友谊,#66
#28,友谊,#66
#49,同事,#66
#3,敌对,#66
#50,了解,#72
#54,认识,#72
#13,同事,#72
#47,敌对,#72
#89,喜欢,#72
#70,敌对,#67
#57,知，师徒,#67
#60,不信任,#67
#61,交流,#67
#68,师徒,#67
#91,师徒,#93
#88,敌对,#93
#2,了解,#93
#82,了解,#92
#89,了解,#92
#79,知,#92
#90,敌对,#92
#86,同事,#92
#77,师徒,#92
#78,认识,#92
#57,友谊,#92
#55,同事,#57
#60,敌对,#57
#60,中*人，知,#57
#67,认识,#57
#70,师徒,#57
#63,知,#57
#68,不愉快,#57
#64,认识,#57
#33,师徒,#71
#6,知,#71
#6,敌对,#71
#0,知,#71
#36,敌对,#71
#66,师徒,#71
#5,师徒,#71
#57,知,#71
#90,敌对,#79
#78,认识,#79
#92,喜欢,#79
#89,友谊,#79
#77,不会出现任何问题,#79
#60,知,#63
#59,喜欢,#63
#67,不成功,#63
#64,师徒,#63
#1,不讨厌有故事的人,#4
#39,悲伤,#4
#25,敌对,#27
#5,知,#27
#6,师徒,#27
#33,敌对,#27
#42,不自在,#27
#49,友谊,#27
#52,不信任,#27
#77,不自然,#78
#86,师徒,#78
#90,敌对,#78
#92,矛盾,#78
#82,同事,#78
#22,师徒,#49
#28,朋友,#49
#48,了解,#49
#0,矛盾,#49
#27,知,#49
#25,不正当,#49
#71,知,#49
#6,同事,#49
#5,认识,#49
#45,友谊,#9
#13,同事,#9
#54,知,#9
#11,不信任,#9
#50,中*人，兄弟姐妹,#9
#51,兄弟,#9
#43,友谊,#0
#43,知，知,#0
#22,知,#0
#36,认识,#0
#36,认识,#0
#25,了解,#0
#28,师徒,#0
#66,不，师徒,#0
#5,不和,#0
#3,师徒,#0
#49,知,#0
#52,知,#0
#71,敌对,#33
#6,不祥,#33
#5,师徒,#33
#42,师徒,#33
#66,同事,#33
#28,中意,#46
#8,认识,#46
#44,友谊,#46
#44,中立,#46
#13,敌对,#46
#50,知,#46
#9,中年人，师徒,#46
#11,敌对,#46
#54,师徒,#46
#91,友谊,#88
#93,认识,#88
#2,知，知,#88
#42,不和,#48
#6,友谊,#48
#22,朋友,#48
#25,知,#48
#49,知,#48
#36,相识,#48
#8,喜欢听戏的外国人士，枫原万叶,#48
#28,敌对,#22
#28,敌对,#22
#25,知，师徒,#22
#0,认识,#22
#36,知道,#22
#3,同事,#22
#49,了解,#22
#48,知,#22
#52,同事,#22
#23,知,#18
#39,师徒,#18
#16,矛盾,#18
#88,知,#2
#91,知,#2
#93,喜欢,#2
#45,知，师徒,#47
#51,中，友谊,#47
#8,知，师徒,#47
#13,敌对,#47
#46,同事,#47
#53,同事,#47
#11,敌对,#47
#82,矛盾,#89
#92,不相似,#89
#78,敌对,#89
#72,喜欢,#89
#9,友谊,#89
#19,知,#1
#19,同事,#1
#39,敌对,#1
#25,知,#1
#60,师徒,#87
#57,认识,#87
#67,不引人注意,#87
#70,认识,#87
#68,知,#87
#59,知,#87
#64,师徒,#87
#61,喜欢,#87
#45,师徒,#13
#9,知,#13
#54,敌对,#13
#50,师徒,#13
#44,师徒,#13
#46,不赖,#13
#47,敌对,#13
#53,不信任,#13
#13,敌对,#53
#50,师徒,#53
#47,喜欢,#53
#3,师徒,#53
#54,中，友谊,#53
#79,认识,#90
#77,矛盾,#90
#82,敌对,#90
#89,知,#90
#78,友谊,#90
#86,师徒,#90
#92,认识,#90
#16,矛盾,#24
#39,朋友，同事,#24
#22,兄弟,#28
#22,同事,#28
#5,缘分,#28
#0,认识,#28
#42,喜欢,#28
#66,敌对,#28
#8,战友,#28
#51,同学,#50
#9,学习,#50
