END_ID,type,START_ID
e5,神之眼,#0
e6,神之眼,#1
e6,神之眼,#2
e0,神之眼,#3
e5,神之眼,#4
e4,神之眼,#5
e0,神之眼,#6
e5,神之眼,#7
e4,神之眼,#8
e5,神之眼,#9
e4,神之眼,#11
e0,神之眼,#12
e3,神之眼,#13
e5,神之眼,#15
e0,神之眼,#16
e5,神之眼,#17
e6,神之眼,#18
e4,神之眼,#19
e3,神之眼,#20
e3,神之眼,#21
e6,神之眼,#22
e0,神之眼,#23
e3,神之眼,#24
e1,神之眼,#25
e0,神之眼,#26
e5,神之眼,#27
e3,神之眼,#28
e1,神之眼,#29
e1,神之眼,#30
e4,神之眼,#32
e5,神之眼,#33
e0,神之眼,#34
e3,神之眼,#36
e0,神之眼,#39
e5,神之眼,#40
e1,神之眼,#41
e0,神之眼,#42
e1,神之眼,#44
e0,神之眼,#45
e6,神之眼,#46
e6,神之眼,#47
e6,神之眼,#48
e5,神之眼,#49
e3,神之眼,#50
e1,神之眼,#51
e1,神之眼,#52
e3,神之眼,#53
e4,神之眼,#54
e2,神之眼,#55
e2,神之眼,#57
e3,神之眼,#58
e1,神之眼,#59
e3,神之眼,#60
e1,神之眼,#61
e5,神之眼,#63
e4,神之眼,#64
e4,神之眼,#65
e2,神之眼,#66
e2,神之眼,#67
e0,神之眼,#68
e5,神之眼,#69
e2,神之眼,#70
e2,神之眼,#71
e2,神之眼,#72
e4,神之眼,#73
e0,神之眼,#75
e5,神之眼,#76
e5,神之眼,#78
e5,神之眼,#79
e1,神之眼,#80
e6,神之眼,#81
e0,神之眼,#82
e0,神之眼,#83
e4,神之眼,#84
e0,神之眼,#85
e1,神之眼,#86
e3,神之眼,#87
e6,神之眼,#88
e6,神之眼,#89
e3,神之眼,#90
e1,神之眼,#91
e2,神之眼,#92
e2,神之眼,#93
